prediction_id,fixture_id,market_code,model_name,model_version,p_pred,prediction_created_at,league_code,match_datetime_utc,actual,brier,edge,odds_used,hours_to_kickoff,odds_band,kickoff_band,edge_band
1743224,3078,home_and_o25,market_outcome_gbm,fixtures_first_prematch_v1,0.19710422440581168,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,0.0,0.03885007527861657,,,2.620497489166667,missing,<=6h,missing
1743223,3078,away_or_o15,market_outcome_gbm,fixtures_first_prematch_v1,0.8878862833539459,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,1.0,0.012569485460191702,,,2.620497489166667,missing,<=6h,missing
1743222,3078,home_or_o15,market_outcome_gbm,fixtures_first_prematch_v1,0.8638534110456936,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,1.0,0.01853589368389287,,,2.620497489166667,missing,<=6h,missing
1743221,3078,away_or_o25,market_outcome_gbm,fixtures_first_prematch_v1,0.7401884349910679,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,1.0,0.06750204931239055,,,2.620497489166667,missing,<=6h,missing
1743220,3078,home_or_o25,market_outcome_gbm,fixtures_first_prematch_v1,0.6178382111810529,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,1.0,0.14604763283329755,,,2.620497489166667,missing,<=6h,missing
1743201,3078,btts,market_outcome_gbm,fixtures_first_prematch_v1,0.5038591103379976,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,1.0,0.24615578239460326,,,2.620497489166667,missing,<=6h,missing
1743197,3078,u25,market_outcome_gbm,fixtures_first_prematch_v1,0.4673916185372209,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,0.0,0.218454925078843,,,2.620497489166667,missing,<=6h,missing
1743196,3078,u15,market_outcome_gbm,fixtures_first_prematch_v1,0.19158923750185686,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,0.0,0.036706435926542914,,,2.620497489166667,missing,<=6h,missing
1743195,3078,o45,market_outcome_gbm,fixtures_first_prematch_v1,0.1109246501900548,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,0.0,0.012304278019786025,,,2.620497489166667,missing,<=6h,missing
1743194,3078,o35,market_outcome_gbm,fixtures_first_prematch_v1,0.2840551812026349,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,0.0,0.08068734596806175,,,2.620497489166667,missing,<=6h,missing
1743193,3078,o25,market_outcome_gbm,fixtures_first_prematch_v1,0.532608381462779,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,1.0,0.21845492507884312,-0.10375525490085735,1.5714285714285714,2.620497489166667,1.51-1.80,<=6h,<0%
1570759,3078,ao15,market_outcome_gbm,fixtures_first_prematch_v1,0.5538832478926664,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,1.0,0.19902015651079613,,,2.620497489166667,missing,<=6h,missing
1570758,3078,ho15,market_outcome_gbm,fixtures_first_prematch_v1,0.2673310254203937,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,0.0,0.0714658771523192,,,2.620497489166667,missing,<=6h,missing
1570757,3078,dc_12,market_outcome_gbm,fixtures_first_prematch_v1,0.7669161248108617,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,1.0,0.05432809287318581,,,2.620497489166667,missing,<=6h,missing
1570756,3078,dc_x2,market_outcome_gbm,fixtures_first_prematch_v1,0.7524268277191162,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,1.0,0.061292475633220184,,,2.620497489166667,missing,<=6h,missing
1570755,3078,dc_1x,market_outcome_gbm,fixtures_first_prematch_v1,0.44821546189535244,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,0.0,0.20089710028206414,,,2.620497489166667,missing,<=6h,missing
1570754,3078,1x2_a,market_outcome_gbm,fixtures_first_prematch_v1,0.5517845381046476,2026-03-04 17:22:46.209039+00:00,SC0,2026-03-04 20:00:00+00:00,1.0,0.20089710028206414,,,2.620497489166667,missing,<=6h,missing
