family,market_code,n,fixtures,fallback_rows,fallback_rate,live_auc,challenger_auc,delta_auc,live_brier,challenger_brier,delta_brier,live_log_loss,challenger_log_loss,delta_log_loss,live_ece,challenger_ece,delta_ece,challenger_better_auc,challenger_better_brier,challenger_better_log_loss
anytime,a_1up,1347,1347,0,0.0,0.6033458963506936,0.6106420819891346,0.007296185638441033,0.24260282696634172,0.24068608429940483,-0.0019167426669368937,0.6791637748762793,0.6741397145649407,-0.005024060311338618,0.02569424803179094,0.023385301174654958,-0.002308946857135983,True,True,True
anytime,a_2up,1347,1347,0,0.0,0.6112023211379237,0.6210565423536906,0.009854221215766845,0.15247373842941003,0.151084660563791,-0.0013890778656190372,0.48027757368170837,0.4762280939516969,-0.004049479730011463,0.0345700058138114,0.007704511955352961,-0.02686549385845844,True,True,True
anytime,h_1up,1347,1347,0,0.0,0.6422011692027032,0.6310654117777132,-0.011135757424989956,0.22517323647904336,0.23039492668708816,0.005221690208044805,0.6438146937042563,0.6526955045817849,0.008880810877528678,0.0216329482791375,0.05050329358455181,0.028870345305414307,False,False,False
anytime,h_2up,1347,1347,0,0.0,0.6324377569666514,0.615634993147556,-0.0168027638190954,0.1837524428535799,0.18728261316598982,0.0035301703124099304,0.5520904932534003,0.5605217967400415,0.008431303486641228,0.015010504999958228,0.025157654536061187,0.010147149536102958,False,False,False
corners,ac25,1527,1527,0,0.0,0.6294411895706993,0.6205106297324152,-0.008930559838284058,0.193772023396575,0.19382557043005963,5.354703348461887e-05,0.5743155176431775,0.5743842127972056,6.86951540281866e-05,0.03760287917348768,0.017558644143286797,-0.020044235030200884,False,False,False
corners,ac35,1527,1527,0,0.0,0.6419827778319429,0.6262874841567196,-0.015695293675223265,0.23428797416180402,0.23540644696673502,0.0011184728049309922,0.660056161185924,0.6630820533363966,0.0030258921504725533,0.04310484928952276,0.028577224344656694,-0.014527624944866067,False,False,False
corners,ac45,1527,1527,0,0.0,0.6284485974667353,0.6123216855269936,-0.016126911939741695,0.2308322713321612,0.2330679755955698,0.0022357042634086055,0.6539742760797126,0.6584312598861418,0.004456983806429227,0.04593234552317369,0.03296360275120838,-0.01296874277196531,False,False,False
corners,ac55,1527,1527,0,0.0,0.6531270337791028,0.6346356517540361,-0.018491382025066616,0.1926151532947777,0.19519535052429796,0.0025801972295202424,0.5710913027576404,0.577089699815869,0.005998397058228577,0.033570215632231136,0.025101047070413482,-0.008469168561817654,False,False,False
corners,c105,1527,1527,0,0.0,0.5730362157236105,0.5882184057079773,0.015182189984366823,0.22925100733159504,0.22669798306524747,-0.00255302426634757,0.6508967693284664,0.6448651672378142,-0.006031602090652233,0.030417950819005384,0.0255874874040943,-0.004830463414911085,True,True,True
corners,c75,1527,1527,0,0.0,0.5851398038850407,0.5703316849289549,-0.014808118956085803,0.20096293907695365,0.20056270423114267,-0.0004002348458109761,0.591008748484214,0.5902038389348078,-0.000804909549406263,0.008539047478963767,0.02039202232458107,0.011852974845617302,False,True,True
corners,c85,1527,1527,0,0.0,0.6003740262200943,0.5723648732355363,-0.028009152984557972,0.23263604132892132,0.23235406238767295,-0.0002819789412483731,0.6578006350387099,0.6572610958239663,-0.0005395392147435896,0.035425482165673976,0.014579502180105421,-0.020845979985568554,False,True,True
corners,c95,1527,1527,0,0.0,0.5753259787942216,0.5790412792094156,0.0037153004151939673,0.24785365514495725,0.24667234196709414,-0.0011813131778631025,0.6888432599218558,0.6864520738754245,-0.002391186046431293,0.03669700209015966,0.024251299504164985,-0.012445702585994672,True,True,True
corners,hc25,1527,1527,0,0.0,0.6266339869281045,0.6210553089160192,-0.005578678012085225,0.13392784325098675,0.13579963725763083,0.0018717940066440841,0.4348574093933347,0.439346062225742,0.004488652832407292,0.011881633820698892,0.01551802065780824,0.003636386837109349,False,False,False
corners,hc35,1527,1527,0,0.0,0.6523890819665468,0.635845375281995,-0.01654370668455174,0.19934723664976703,0.2008585485961698,0.0015113119464027769,0.5848307588309083,0.5882952019343299,0.003464443103421644,0.03719993341426285,0.024901168231863603,-0.012298765182399248,False,False,False
