feature,missing_pct,non_missing_pct,count,mean,std,min,p25,p50,p75,max
home_rolling_xg,0.0814085573646346,0.9185914426353654,7278,1.3473740957904907,0.4716541851400719,0.01,1.0414496804882682,1.302225949615012,1.619431673031757,4.35
home_rolling_xg_against,0.0814085573646346,0.9185914426353654,7278,1.3770380896287329,0.4788054964210756,0.09,1.0770255709544487,1.3378160602545779,1.6223221671067594,6.25
away_rolling_xg,0.08027262400605831,0.9197273759939417,7287,1.3850627361915355,0.48776704568265467,0.028181818181818183,1.0549857055798442,1.3414238688384879,1.6559675280726993,4.14
away_rolling_xg_against,0.08027262400605831,0.9197273759939417,7287,1.337639465911327,0.4640523516337039,0.01,1.0369754678582472,1.308831567188485,1.5924232511610876,5.489999999999999
xg_diff,0.0,1.0,7923,0.007422678413145667,0.6371763772820018,-4.268264462809917,-0.35841373493810874,0.0,0.36075809644201284,3.8599999999999994
home_rolling_corners,0.07964154991796037,0.9203584500820396,7292,4.775359633600483,1.5685054161736849,0.0,3.818181818181818,4.668263131754094,5.645089192947663,20.0
rest_delta,0.0,1.0,7923,-0.013618198149548254,2.303349043332145,-17.510667040254326,-0.2779688654657235,0.0,0.27890853219066125,17.135460389876496
congestion_flag,0.0,1.0,7923,0.1652151962640414,0.3713980948030343,0.0,0.0,0.0,0.0,1.0
home_upcoming_tier,0.0,1.0,7923,0.027388615423450714,0.2844662795173049,0.0,0.0,0.0,0.0,3.0
away_upcoming_tier,0.0,1.0,7923,0.02587403761201565,0.27650938104301054,0.0,0.0,0.0,0.0,3.0
position_gap,0.0,1.0,7923,-0.32235264420042914,8.640924621059405,-35.0,-6.0,1.0,5.0,35.0
points_gap,0.0,1.0,7923,-0.16698220371071565,9.046529575886735,-48.0,-4.0,0.0,4.0,45.0
home_lame_duck,0.0,1.0,7923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away_lame_duck,0.0,1.0,7923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_derby,0.0,1.0,7923,0.004669948251924776,0.06818157062891518,0.0,0.0,0.0,0.0,1.0
home_form_streak,0.0,1.0,7923,3.5919474946358703,2.5431833697907886,0.0,1.0,4.0,6.0,9.0
away_form_streak,0.0,1.0,7923,3.765619083680424,2.5587703216583475,0.0,2.0,4.0,6.0,9.0
home_xg_lost,0.0,1.0,7923,0.1405586221248565,0.31758332381744175,0.0,0.0,0.0,0.06811666666666666,3.2105428571428574
away_xg_lost,0.0,1.0,7923,0.14541326708057112,0.3252773520939241,0.0,0.0,0.0,0.08085833333333334,3.2105428571428574
home_key_absent,0.0,1.0,7923,0.25747822794396064,0.4372725960727854,0.0,0.0,0.0,1.0,1.0
away_key_absent,0.0,1.0,7923,0.2553325760444276,0.43607551283983603,0.0,0.0,0.0,1.0,1.0
injury_impact,0.0,1.0,7923,-0.0048546449557146255,0.3217287653830082,-3.2105428571428574,0.0,0.0,0.0,3.2105428571428574
home_xg_over_scored,0.0,1.0,7923,-0.1320135486325846,3.1324958714502,-18.75,-1.946684970332531,-0.17217379834148083,1.512568233866305,15.0
home_xg_over_conceded,0.0,1.0,7923,-0.17410274915935944,3.3752194291867235,-21.25,-2.0219598781167343,-0.15332804093998753,1.5225407375884,18.0
away_xg_over_scored,0.0,1.0,7923,-0.1745249013175052,3.244399904134425,-18.7,-2.0205019402082223,-0.1822216094275504,1.5764937391374056,16.0
away_xg_over_conceded,0.0,1.0,7923,-0.13440539448178745,3.1599328223970766,-18.75,-1.9600051688975295,-0.11224643125469491,1.5408345803503245,18.0
home_playing_top4,0.0,1.0,7923,0.19512810803988387,0.39632430461297125,0.0,0.0,0.0,0.0,1.0
away_playing_top4,0.0,1.0,7923,0.18364255963650133,0.38721685679268836,0.0,0.0,0.0,0.0,1.0
derby_position_gap,0.0,1.0,7923,-0.0012621481761958854,0.38331579612702443,-15.0,0.0,0.0,0.0,9.0
away_rolling_corners,0.07850561655938407,0.921494383440616,7301,4.901254764284188,1.6135894659401193,0.0,3.895635544020217,4.773716634157512,5.780799331989929,17.0
odds_model_gap_home,0.10728259497665026,0.8927174050233497,7073,-0.001249058396245679,0.11091141854991425,-0.4276016769077389,-0.07015897538859606,-0.005412221984408605,0.06347336032934592,0.61037158485319
odds_model_gap_draw,0.10728259497665026,0.8927174050233497,7073,0.011475045057384418,0.03513000436991524,-0.17680899933102084,-0.006503264083099036,0.014242713161505438,0.03229726993698889,0.17531005137659667
odds_model_gap_away,0.10728259497665026,0.8927174050233497,7073,-0.010035482503044639,0.10208170720366032,-0.5793027958708116,-0.06793307143005195,-0.010024534736110147,0.04818337911091389,0.4405254342625408
odds_opening_gap_home,0.10728259497665026,0.8927174050233497,7073,-0.0005767095739314044,0.11318197483316733,-0.4350181123475284,-0.07092798818675367,-0.00286703576398184,0.06732607247803385,0.6143310609353146
odds_opening_gap_draw,0.10728259497665026,0.8927174050233497,7073,0.012286825702932876,0.03287343328003094,-0.1701939603164594,-0.0037609002062653774,0.014289020249526163,0.030972773942629483,0.17587116986493115
odds_opening_gap_away,0.10728259497665026,0.8927174050233497,7073,-0.01151961197090737,0.10448504788930206,-0.5793027958708116,-0.07149818252098,-0.012654092859640809,0.050574254768719434,0.4405254342625408
