feature,missing_pct,non_missing_pct,count,mean,std,min,p25,p50,p75,max
home_rolling_xg,0.08186476690413698,0.918135233095863,7346,1.3469611807933082,0.4707245616232325,0.01,1.0415157023949857,1.302041032385226,1.61793650960173,4.35
home_rolling_xg_against,0.08186476690413698,0.918135233095863,7346,1.3774058413919703,0.4781247726747663,0.09,1.0780233476614896,1.3378160602545779,1.6224574953166335,6.25
away_rolling_xg,0.08073990751156106,0.919260092488439,7355,1.3852025247948423,0.48762796486028687,0.028181818181818183,1.0551957787196726,1.3410967111271679,1.6561984712917024,4.14
away_rolling_xg_against,0.08073990751156106,0.919260092488439,7355,1.3380362383283333,0.46323357568875273,0.01,1.0372122367344745,1.3097035721603714,1.5924232511610876,5.489999999999999
xg_diff,0.0,1.0,8001,0.006689201500156284,0.635645873202938,-4.268264462809917,-0.3566353642744995,0.0,0.3588204357625845,3.8599999999999994
home_rolling_corners,0.07961504811898512,0.9203849518810149,7364,4.774631313914811,1.5645992384693885,0.0,3.818181818181818,4.666014050054683,5.6390614462108495,20.0
rest_delta,0.0,1.0,8001,-0.012374503087582546,2.2942967607764264,-17.510667040254326,-0.27819008454433813,0.0,0.27992035075017085,17.135460389876496
congestion_flag,0.0,1.0,8001,0.16960379952505936,0.3753078143411909,0.0,0.0,0.0,0.0,1.0
home_upcoming_tier,0.0,1.0,8001,0.02712160979877515,0.2830889018209796,0.0,0.0,0.0,0.0,3.0
away_upcoming_tier,0.0,1.0,8001,0.025621797275340582,0.27516984108877085,0.0,0.0,0.0,0.0,3.0
position_gap,0.0,1.0,8001,-0.3277090363704537,8.642400902719661,-35.0,-6.0,1.0,5.0,35.0
points_gap,0.0,1.0,8001,-0.18285214348206474,9.177428066417123,-48.0,-4.0,0.0,4.0,45.0
home_lame_duck,0.0,1.0,8001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away_lame_duck,0.0,1.0,8001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_derby,0.0,1.0,8001,0.004624421947256593,0.06784992298075171,0.0,0.0,0.0,0.0,1.0
home_form_streak,0.0,1.0,8001,3.5933008373953257,2.5413726833368124,0.0,1.0,4.0,6.0,9.0
away_form_streak,0.0,1.0,8001,3.7696537932758405,2.557500536192695,0.0,2.0,4.0,6.0,9.0
home_xg_lost,0.0,1.0,8001,0.1400680483391957,0.317389547455017,0.0,0.0,0.0,0.06525,3.2105428571428574
away_xg_lost,0.0,1.0,8001,0.14471428407758555,0.32465814011282207,0.0,0.0,0.0,0.0765,3.2105428571428574
home_key_absent,0.0,1.0,8001,0.25609298837645295,0.4365010691305131,0.0,0.0,0.0,1.0,1.0
away_key_absent,0.0,1.0,8001,0.2538432695913011,0.4352361886751933,0.0,0.0,0.0,1.0,1.0
injury_impact,0.0,1.0,8001,-0.0046462357383898435,0.32116304912517135,-3.2105428571428574,0.0,0.0,0.0,3.2105428571428574
home_xg_over_scored,0.0,1.0,8001,-0.11997052500165117,3.1371269184134576,-18.75,-1.9394031664928884,-0.16632334449016994,1.521507472788123,15.0
home_xg_over_conceded,0.0,1.0,8001,-0.16086946060830695,3.377843017349589,-21.25,-2.0134922967423865,-0.1476667692964515,1.5382782472632925,18.0
away_xg_over_scored,0.0,1.0,8001,-0.16045779894142265,3.257922396148177,-18.7,-2.015457409843785,-0.173215627347858,1.5894370945144107,18.0
away_xg_over_conceded,0.0,1.0,8001,-0.12252001806329942,3.163753806337981,-18.75,-1.9504179107338793,-0.10569102359701077,1.5454085289333106,18.0
home_playing_top4,0.0,1.0,8001,0.19410073740782402,0.395531533952359,0.0,0.0,0.0,0.0,1.0
away_playing_top4,0.0,1.0,8001,0.18385201849768779,0.38738767416986525,0.0,0.0,0.0,0.0,1.0
derby_position_gap,0.0,1.0,8001,-0.001249843769528809,0.3827511432971664,-15.0,0.0,0.0,0.0,9.0
away_rolling_corners,0.07874015748031496,0.9212598425196851,7371,4.89992165977306,1.6113581772500456,0.0,3.8959185541152017,4.770575780342872,5.778090783991016,17.0
home_rolling_tackles_pct,0.1477315335583052,0.8522684664416948,6819,48.78228811724166,22.581585515245738,2.0,38.246896253984794,58.585946518353005,63.912778906298456,100.0
away_rolling_tackles_pct,0.14660667416572928,0.8533933258342707,6828,48.80305882321848,22.686534519375986,1.0,37.307630389880416,58.73854244928624,64.17648119669417,100.0
home_rolling_errors_lead_to_shot,0.3250843644544432,0.6749156355455568,5400,0.3982496738851845,0.32827991488020813,0.0,0.16295459202364465,0.34489903639681707,0.5740045078888054,3.0
away_rolling_errors_lead_to_shot,0.32470941132358455,0.6752905886764154,5403,0.3947819285079421,0.3222955904566176,0.0,0.1626151264777993,0.3461222885117852,0.5698381258110783,3.0
odds_model_gap_home,0.10761154855643044,0.8923884514435696,7140,-0.00130444118551431,0.11068637366165446,-0.4276016769077389,-0.07012259975000426,-0.005319279347501316,0.06335842128663456,0.61037158485319
odds_model_gap_draw,0.10761154855643044,0.8923884514435696,7140,0.011429479676727894,0.03505008320763029,-0.17680899933102084,-0.006533835914519552,0.014188571638815886,0.03224168352228145,0.17531005137659667
odds_model_gap_away,0.10761154855643044,0.8923884514435696,7140,-0.009935521566230907,0.10192523727623595,-0.5793027958708116,-0.06787116476451838,-0.010161228722247641,0.04816951570998097,0.4405254342625408
odds_opening_gap_home,0.10761154855643044,0.8923884514435696,7140,-0.0007202022726546729,0.11307663430590893,-0.4350181123475284,-0.07092903127926112,-0.0027794310556981117,0.0673255455530853,0.6143310609353146
odds_opening_gap_draw,0.10761154855643044,0.8923884514435696,7140,0.012258520258190136,0.032804445131389214,-0.1701939603164594,-0.0037038863465552047,0.014210398870024274,0.03092066109482732,0.17587116986493115
odds_opening_gap_away,0.10761154855643044,0.8923884514435696,7140,-0.011348801060552789,0.1044617051097839,-0.5793027958708116,-0.07135223433059687,-0.012710265790902772,0.05057669934554193,0.4405254342625408
