feature,missing_pct,non_missing_pct,count,mean,std,min,p25,p50,p75,max
home_rolling_xg,0.0823544433094995,0.9176455566905005,7187,1.3464427698753443,0.47177534994537573,0.01,1.0400379245499556,1.3025952335513453,1.6178911701480994,4.35
home_rolling_xg_against,0.0823544433094995,0.9176455566905005,7187,1.3776622212277327,0.47950694027210045,0.09,1.078406409875273,1.3377716983205117,1.6215653228988443,6.25
away_rolling_xg,0.08120531154239019,0.9187946884576098,7196,1.3857964134248788,0.4885298103162187,0.028181818181818183,1.05582834431822,1.3415634708412196,1.658857694054121,4.14
away_rolling_xg_against,0.08120531154239019,0.9187946884576098,7196,1.337147013486494,0.4645085133361608,0.01,1.0360503148222722,1.3080421419301957,1.592491104029754,5.489999999999999
xg_diff,0.0,1.0,7832,0.00699365143581313,0.6382421901068719,-4.268264462809917,-0.35840086620055545,0.0,0.35926974735102357,3.8599999999999994
home_rolling_corners,0.08056690500510726,0.9194330949948928,7201,4.773638466434482,1.5675323635735954,0.0,3.815927873779113,4.666263787783067,5.6448902148270745,20.0
rest_delta,0.0,1.0,7832,-0.015082545493131391,2.312126730336476,-17.510667040254326,-0.27855518623900455,0.0,0.2783313653060395,17.135460389876496
congestion_flag,0.0,1.0,7832,0.1644535240040858,0.3707102766204676,0.0,0.0,0.0,0.0,1.0
home_upcoming_tier,0.0,1.0,7832,0.027706843718079674,0.286098912582731,0.0,0.0,0.0,0.0,3.0
away_upcoming_tier,0.0,1.0,7832,0.026174668028600613,0.2780971776765469,0.0,0.0,0.0,0.0,3.0
position_gap,0.0,1.0,7832,-0.3313329928498468,8.652274588750116,-34.0,-6.0,1.0,5.0,35.0
points_gap,0.0,1.0,7832,-0.17900919305413687,8.964629406721976,-48.0,-4.0,0.0,4.0,44.0
home_lame_duck,0.0,1.0,7832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away_lame_duck,0.0,1.0,7832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_derby,0.0,1.0,7832,0.004724208375893769,0.06857470853944302,0.0,0.0,0.0,0.0,1.0
home_form_streak,0.0,1.0,7832,3.5847803881511746,2.543647979141629,0.0,1.0,4.0,6.0,9.0
away_form_streak,0.0,1.0,7832,3.763661899897855,2.5611544198451393,0.0,2.0,4.0,6.0,9.0
home_xg_lost,0.0,1.0,7832,0.1415469156350828,0.31881087195853636,0.0,0.0,0.0,0.07266666666666667,3.2105428571428574
away_xg_lost,0.0,1.0,7832,0.1457321692040793,0.3251616213946115,0.0,0.0,0.0,0.08457500000000001,3.2105428571428574
home_key_absent,0.0,1.0,7832,0.25893769152196117,0.4380792932719471,0.0,0.0,0.0,1.0,1.0
away_key_absent,0.0,1.0,7832,0.2566394279877426,0.4368065860109142,0.0,0.0,0.0,1.0,1.0
injury_impact,0.0,1.0,7832,-0.004185253568996547,0.32265013104965073,-3.2105428571428574,0.0,0.0,0.0,3.2105428571428574
home_xg_over_scored,0.0,1.0,7832,-0.12288316336446632,3.1351219735184475,-18.75,-1.9418988230271552,-0.1664473451629238,1.515597543635248,15.0
home_xg_over_conceded,0.0,1.0,7832,-0.16781051070206587,3.383831076615151,-21.25,-2.021576180811466,-0.14654395191585268,1.5233022297885253,18.0
away_xg_over_scored,0.0,1.0,7832,-0.17287473889519006,3.250236541148921,-18.7,-2.0169516565571253,-0.17766265563225137,1.5762542694114,16.0
away_xg_over_conceded,0.0,1.0,7832,-0.13209263856538023,3.1610009732726456,-18.75,-1.9628784028918038,-0.10978350445942908,1.5431089346788671,18.0
home_playing_top4,0.0,1.0,7832,0.19548008171603679,0.39659513621295867,0.0,0.0,0.0,0.0,1.0
away_playing_top4,0.0,1.0,7832,0.1830949948927477,0.3867690753218381,0.0,0.0,0.0,0.0,1.0
derby_position_gap,0.0,1.0,7832,-0.0014044943820224719,0.3876830103731172,-15.0,0.0,0.0,0.0,9.0
away_rolling_corners,0.07941777323799795,0.9205822267620021,7210,4.90444479415039,1.616802506589791,0.0,3.8962277079199197,4.774625555720182,5.786788356811769,17.0
odds_model_gap_home,0.10789070480081717,0.8921092951991828,6987,-0.0013543095424433228,0.11100104867398547,-0.4276016769077389,-0.07029426367751065,-0.005596296539601864,0.06362168549179811,0.61037158485319
odds_model_gap_draw,0.10789070480081717,0.8921092951991828,6987,0.011424119428935198,0.03512612574638516,-0.17680899933102084,-0.006566306727198906,0.01417441485237056,0.03219814280697264,0.17531005137659667
odds_model_gap_away,0.10789070480081717,0.8921092951991828,6987,-0.009878725981446042,0.10226395714936544,-0.5793027958708116,-0.06794252223380141,-0.009874672383165944,0.04848645646075379,0.4405254342625408
odds_opening_gap_home,0.10789070480081717,0.8921092951991828,6987,-0.0006828396953383742,0.11322217342765299,-0.4350181123475284,-0.07109311907221064,-0.0030353842108478135,0.06728729755985027,0.6143310609353146
odds_opening_gap_draw,0.10789070480081717,0.8921092951991828,6987,0.012234876470458829,0.03285283350645525,-0.1701939603164594,-0.003868347955841525,0.014112848147023155,0.030924488798606695,0.17587116986493115
odds_opening_gap_away,0.10789070480081717,0.8921092951991828,6987,-0.011360952870074626,0.10460922189315795,-0.5793027958708116,-0.07128146163646057,-0.01261326931763651,0.05087387546907857,0.4405254342625408
