fixture_id,league_code,lambda_home_pred,lambda_away_pred,lambda_total_pred
3041,SC0,1.8053069590408302,1.007993675820349,2.813300634861179
3042,SC0,1.3295166891700854,1.5030061137764632,2.8325228029465483
4840,I2,1.365244627812147,1.18691796043444,2.552162588246587
5859,F1,1.281108306257343,1.4331575991036822,2.7142659053610254
5860,F1,1.3619471700979486,1.1277867005012094,2.4897338705991583
5861,F1,1.5357159098688915,1.0934682445858526,2.629184154454744
3806,D1,1.5311264770899737,1.2292052873863908,2.7603317644763647
19539,P1,1.4918542856580774,1.121443847534276,2.6132981331923535
20107,G1,1.3860584222342023,1.2953532520917845,2.681411674325987
4468,I1,1.7592554183027813,1.1039424793184718,2.8631978976212533
21980,RO1,1.8652667465591275,0.9684361200409702,2.8337028666000976
554,E0,1.503182487978183,1.226750766179202,2.729933254157385
5086,SP1,1.5456512497630208,1.2239697310079938,2.7696209807710144
5480,SP2,1.3206521760963952,1.3400611010578563,2.6607132771542514
19307,B1,1.587508200886701,1.1075790851411398,2.6950872860278405
19308,B1,1.3870061768666446,1.331073279861423,2.7180794567280677
19540,P1,1.9082093842604873,0.9641480338201798,2.872357418080667
19541,P1,1.7425097960316978,0.9311718458976271,2.673681641929325
4469,I1,1.5979414703198855,1.1533329415589693,2.751274411878855
5862,F1,1.5284988248825875,1.2082566799791523,2.7367555048617396
5087,SP1,1.336539585042018,1.2963807336240194,2.6329203186660375
5481,SP2,1.426042321154079,1.2579938860670314,2.6840362072211104
19542,P1,1.9091593513974379,0.9530669023706301,2.862226253768068
21981,RO1,1.943399789773833,0.8864445968315084,2.8298443866053415
19849,T1,1.3196696996862418,1.3852407670380062,2.704910466724248
21982,RO1,1.403108970145006,1.2237341086977631,2.626843078842769
5482,SP2,1.523400653202639,1.1617368053691626,2.6851374585718015
4470,I1,1.3659722761882012,1.1261682332162157,2.492140509404417
12092,F2,1.3344341416782348,1.262433889624357,2.596868031302592
5088,SP1,1.581360240668142,1.0208891691043867,2.6022494097725284
555,E0,1.2891962701200343,1.221152862627132,2.5103491327471663
1048,E1,1.3347073295179581,1.3451434752155909,2.679850804733549
19543,P1,1.7216067352722821,1.0638441048742604,2.7854508401465425
3807,D1,1.3368955459368155,1.346024320096909,2.682919866033725
3808,D1,1.1596263032454908,1.57354156855026,2.733167871795751
2124,E3,1.2790820764651263,1.2903188200954208,2.569400896560547
1573,E2,1.2062288747442764,1.44688640908218,2.6531152838264562
1574,E2,1.521033312631573,1.0257220449163138,2.5467553575478865
1575,E2,1.4485578341997296,1.2432571838413324,2.691815018041062
1576,E2,1.3779733024553626,1.0943872911684587,2.4723605936238213
1577,E2,1.8450943405993725,0.9153704141330793,2.760464754732452
1578,E2,1.3798036614011104,1.1444565317782314,2.524260193179342
1579,E2,1.8414087239954253,0.9703387373408618,2.811747461336287
1580,E2,1.516197120630896,1.1749347096373615,2.691131830268257
1581,E2,1.5064659782006604,1.0043381871478896,2.51080416534855
2125,E3,1.5993444750510064,1.075061772558698,2.6744062476097046
2126,E3,1.277956174561274,1.2787621838262038,2.556718358387478
2127,E3,1.4515137883098022,1.1435895669110587,2.5951033552208607
2128,E3,1.486714667870704,1.18471885797492,2.671433525845624
2129,E3,1.4374959052290168,1.2517768177399617,2.689272722968979
2130,E3,1.5662752171662122,1.1414036438365978,2.70767886100281
2131,E3,1.3210511874692186,1.2918389536961397,2.6128901411653582
2132,E3,1.4702212313799594,1.1042327924553412,2.5744540238353006
2133,E3,1.2719146704297564,1.2337662147352662,2.5056808851650225
2691,EC,1.5545530435510937,1.165631142101296,2.7201841856523896
3564,SC3,1.5293727083618127,1.2088721827774271,2.7382448911392396
1582,E2,1.5135891610008065,1.0781332249157105,2.5917223859165173
1583,E2,1.3828152172809791,1.2131343771100016,2.595949594390981
22813,CL,1.5775873687408546,1.1454725818272025,2.7230599505680573
22814,CL,1.3436861800291553,1.4127070795322094,2.7563932595613645
22815,CL,2.323689424970073,0.7721517866921377,3.0958412116622105
22816,CL,1.1755173635200007,1.3587950723657638,2.5343124358857647
22817,CL,1.9436139529561736,1.042634656681869,2.9862486096380425
22818,CL,2.1623965355966233,0.8923204142075498,3.054716949804173
22819,CL,1.8380569523351484,0.9433105099324696,2.781367462267618
22820,CL,1.1927540168727344,1.5171035506541979,2.7098575675269325
22821,CL,1.6306288806710836,1.0924069709882331,2.7230358516593167
22822,CL,1.5153653129341158,1.250396346300272,2.765761659234388
22823,CL,1.1672340066014049,1.4589883590814938,2.6262223656828985
22824,CL,1.9467166066627035,0.9863828679450347,2.9330994746077383
22825,CL,2.1333075932848016,0.9379746170453663,3.071282210330168
22826,CL,1.6994216074192265,1.1490673441816488,2.848488951600875
22827,CL,1.1898098980795575,1.710129026119609,2.8999389241991667
22828,CL,1.2279269549360117,1.3599279730253677,2.5878549279613794
22829,CL,2.1804722405058055,0.8916865610122797,3.072158801518085
22830,CL,1.116685054121258,1.6266562012638754,2.7433412553851335
20299,BR1,1.5293727083618127,1.2088721827774271,2.7382448911392396
20300,BR1,1.5293727083618127,1.2088721827774271,2.7382448911392396
20301,BR1,1.5293727083618127,1.2088721827774271,2.7382448911392396
20302,BR1,1.5293727083618127,1.2088721827774271,2.7382448911392396
20303,BR1,1.5293727083618127,1.2088721827774271,2.7382448911392396
20304,BR1,1.5293727083618127,1.2088721827774271,2.7382448911392396
20305,BR1,1.5293727083618127,1.2088721827774271,2.7382448911392396
20306,BR1,1.5293727083618127,1.2088721827774271,2.7382448911392396
23197,EL,1.6986244247786442,1.11804730500895,2.8166717297875943
23198,EL,1.4421672475055467,1.1478508821916893,2.5900181296972358
23199,EL,1.6608338925733361,1.066869763737982,2.727703656311318
23200,EL,1.7356861689076017,1.0087354543821092,2.744421623289711
23201,EL,1.710111172091821,1.1052268858584904,2.8153380579503113
23202,EL,1.2251547582259679,1.5238740452626511,2.7490288034886188
23203,EL,1.5290902384548772,1.1098787435701825,2.6389689820250597
23204,EL,1.5025881817532551,1.3243837757590218,2.826971957512277
23205,EL,1.5344176101549862,1.1382937200452965,2.6727113302002827
23206,EL,1.5926674894854815,1.2434423517621938,2.8361098412476755
23207,EL,1.49115518831059,1.161334595563195,2.652489783873785
23208,EL,1.1901502073211963,1.5277391295928795,2.7178893369140757
23209,EL,1.5829687493218152,1.140508172268038,2.723476921589853
23210,EL,1.7981027511638843,1.1185005884749628,2.916603339638847
23211,EL,1.3170956483646457,1.420165091602084,2.7372607399667297
23212,EL,1.6136472040787815,1.1647535882805293,2.778400792359311
23213,EL,1.3391953288254057,1.2077487116677503,2.5469440404931563
23214,EL,1.910177567372317,0.9886344785720471,2.8988120459443643
20307,BR1,1.5293727083618127,1.2088721827774271,2.7382448911392396
20308,BR1,1.5293727083618127,1.2088721827774271,2.7382448911392396
21983,RO1,1.5952179144982264,1.0551891964881752,2.650407110986402
19850,T1,1.2190467066187753,1.3065216485861733,2.525568355204949
19851,T1,1.1544724614509896,1.5271824246041235,2.681654886055113
21654,PL1,1.4323917843054896,1.1334342108062379,2.5658259951117275
21984,RO1,1.9339770720787715,0.9402809675169546,2.874258039595726
4116,D2,1.5049156751977337,1.40751155118066,2.9124272263783935
4117,D2,1.5293168977843778,1.2605397065191544,2.789856604303532
22572,CH2,1.3783028263145558,1.3752520575703466,2.7535548838849024
22573,CH2,1.272795400673411,1.2224250095304794,2.49522041020389
12093,F2,1.4985869325983794,1.0781743637476238,2.576761296346003
12094,F2,1.4371749747659686,1.2124065659532373,2.649581540719206
12095,F2,1.504133347382872,1.1964668778473038,2.7006002252301755
12096,F2,1.2879407044962403,1.2854350304602826,2.5733757349565227
12097,F2,1.5393352645819747,1.2051997318166043,2.744534996398579
12098,F2,1.2474264542973457,1.3539653142608576,2.6013917685582033
19013,N1,1.2318945232219494,1.4239167128432713,2.6558112360652206
22574,CH2,1.4534840512302019,1.1629887495049838,2.6164728007351856
22575,CH2,1.5766138390672846,1.1581008260271746,2.734714665094459
3809,D1,1.6363464776406018,1.1442477326461211,2.780594210286723
4841,I2,1.345849746283779,1.1640791301994315,2.509928876483211
5483,SP2,1.327876012871219,1.3378185231264592,2.6656945359976785
4471,I1,1.458294398591063,1.1375433642153938,2.5958377628064566
5863,F1,1.7114472510564906,1.0331549299623048,2.7446021810187955
19309,B1,1.2361136560078188,1.2997988851590934,2.535912541166912
5089,SP1,1.4342572154238453,1.1797455547797107,2.614002770203556
3213,SC1,1.7315473488392157,1.0988227408657014,2.830370089704917
1049,E1,1.5981340827766017,1.0539604544235779,2.6520945372001794
19544,P1,1.3669324617318461,1.2220294172639403,2.5889618789957867
21368,MX1,1.2393396479484962,1.4007224362394453,2.6400620841879414
19852,T1,1.5773456725571737,1.0456806569236494,2.6230263294808234
21369,MX1,1.595350007145301,1.0569177199498618,2.652267727095163
21370,MX1,1.3186976358651192,1.4136467922894014,2.7323444281545206
21985,RO1,1.3093375228600743,1.1036844706251208,2.413021993485195
4118,D2,1.4664184785059777,1.1467624452157377,2.6131809237217154
4119,D2,1.3514387601573208,1.1727741006255632,2.524212860782884
4120,D2,1.4790057851440852,1.1249991924385236,2.604004977582609
19853,T1,1.9075001143166646,0.9993450700796693,2.906845184396334
5090,SP1,1.3422397447032544,1.2752486232431086,2.617488367946363
12099,F2,1.5533184708400027,1.113921663401317,2.66724013424132
12100,F2,1.3862105907502351,1.1487451757967122,2.5349557665469473
1050,E1,1.1503257217390084,1.3199157109052553,2.4702414326442637
1051,E1,1.3562770613755017,1.267994117688119,2.624271179063621
1052,E1,1.5409282695871644,1.0603767551360577,2.601305024723222
1584,E2,1.1519846161041039,1.4829036805295799,2.634888296633684
1585,E2,1.292078656736968,1.2020642293111732,2.494142886048141
2134,E3,1.4330126306242845,1.1877107515933267,2.6207233822176113
2135,E3,1.5160902736569692,1.1192730843195076,2.635363357976477
21655,PL1,1.596359383442425,1.147263823146487,2.7436232065889117
4472,I1,1.2960659905581815,1.2064431620996692,2.5025091526578507
4842,I2,1.263740524806809,1.3198728146604346,2.5836133394672434
4843,I2,1.3979493593001135,1.2591596237143072,2.657108983014421
4844,I2,1.3055357166352366,1.2437150436109745,2.549250760246211
4845,I2,1.9071678917620603,1.0730399737071794,2.9802078654692394
4846,I2,1.239899394661746,1.267281868678482,2.507181263340228
20108,G1,1.2951943017037768,1.1998431621779593,2.495037463881736
21986,RO1,1.2997461355717588,1.1984136555300748,2.4981597911018336
3810,D1,1.474443123822048,1.0615930153166042,2.536036139138652
3811,D1,1.5768070772083786,1.0940214424080594,2.670828519616438
3812,D1,1.7574410343155598,1.0954412463292191,2.8528822806447787
3813,D1,1.6178549890977876,1.0438873188659523,2.66174230796374
3814,D1,1.3927175324732308,1.3162323190149627,2.7089498514881933
1586,E2,1.1799411909677888,1.3396206371878459,2.5195618281556347
19310,B1,1.507374046640163,1.0706424238346233,2.578016470474786
19854,T1,1.806625668342233,1.1479820400374554,2.9546077083796884
19855,T1,1.265130742634815,1.191134120095396,2.456264862730211
20109,G1,1.4997176827708865,1.082206158239753,2.5819238410106395
5091,SP1,1.4734836640412656,1.0610934683987547,2.5345771324400204
5484,SP2,1.3658592427128367,1.226769809328894,2.5926290520417306
5485,SP2,1.3620510925956977,1.146913147779817,2.508964240375515
19014,N1,1.6577456165338393,1.2248600329131738,2.8826056494470134
556,E0,1.2051363371851287,1.4081233012713184,2.613259638456447
557,E0,1.708965915216852,1.005424520742988,2.7143904359598396
558,E0,1.2403664122874594,1.177121682234525,2.4174880945219845
1053,E1,1.34748717800701,1.206871585740744,2.5543587637477536
