feature,missing_pct,non_missing_pct,count,mean,std,min,p25,p50,p75,max
home_rolling_xg,0.08053855569155446,0.9194614443084456,7512,1.3475758188797151,0.469003037354989,0.01,1.042999693661355,1.3028570770168961,1.6178709820475823,4.35
home_rolling_xg_against,0.08053855569155446,0.9194614443084456,7512,1.378632128486302,0.4765139554118603,0.09,1.0793188566783603,1.3402436690271764,1.6237519775878688,6.25
away_rolling_xg,0.07943696450428396,0.920563035495716,7521,1.3858007820966682,0.48573738080903855,0.028181818181818183,1.0576524018700122,1.3417341910830367,1.655206611570248,4.14
away_rolling_xg_against,0.07943696450428396,0.920563035495716,7521,1.3382090373259905,0.4610806347406843,0.01,1.04,1.310189498478573,1.5920695335942456,5.489999999999999
xg_diff,0.0,1.0,8170,0.0071382352136650385,0.6329736613491834,-4.268264462809917,-0.3558082527635257,0.0,0.35843996545108253,3.8599999999999994
home_rolling_corners,0.0780905752753978,0.9219094247246022,7532,4.772425241879327,1.5557228423458636,0.0,3.818708689708587,4.668263131754094,5.636193365728907,20.0
rest_delta,0.0,1.0,8170,-0.011412447205752446,2.2723931572527243,-17.510667040254326,-0.2784673010031051,0.0,0.28287861363951916,17.135460389876496
congestion_flag,0.0,1.0,8170,0.17307221542227663,0.3783328472997419,0.0,0.0,0.0,0.0,1.0
home_upcoming_tier,0.0,1.0,8170,0.02656058751529988,0.28017192850985856,0.0,0.0,0.0,0.0,3.0
away_upcoming_tier,0.0,1.0,8170,0.025091799265605876,0.2723330334002526,0.0,0.0,0.0,0.0,3.0
position_gap,0.0,1.0,8170,-0.33586291309669525,8.624186540391479,-35.0,-6.0,1.0,5.0,35.0
points_gap,0.0,1.0,8170,-0.2272949816401469,9.383499171657881,-53.0,-5.0,0.0,4.0,46.0
home_lame_duck,0.0,1.0,8170,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away_lame_duck,0.0,1.0,8170,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_derby,0.0,1.0,8170,0.004895960832313341,0.06980391679336397,0.0,0.0,0.0,0.0,1.0
home_form_streak,0.0,1.0,8170,3.6018359853121176,2.535481411590322,0.0,1.0,4.0,6.0,9.0
away_form_streak,0.0,1.0,8170,3.7807833537331703,2.5555496483070304,0.0,2.0,4.0,6.0,9.0
home_xg_lost,0.0,1.0,8170,0.14028941685609372,0.3182134369112679,0.0,0.0,0.0,0.06325,3.2105428571428574
away_xg_lost,0.0,1.0,8170,0.14537754109109982,0.32574762453788825,0.0,0.0,0.0,0.074,3.2105428571428574
home_key_absent,0.0,1.0,8170,0.2555691554467564,0.4362073496989097,0.0,0.0,0.0,1.0,1.0
away_key_absent,0.0,1.0,8170,0.2531211750305998,0.43482638863430384,0.0,0.0,0.0,1.0,1.0
injury_impact,0.0,1.0,8170,-0.00508812423500612,0.32031932169462013,-3.2105428571428574,0.0,0.0,0.0,3.2105428571428574
home_xg_over_scored,0.0,1.0,8170,-0.11272310368691499,3.1270155617427577,-18.75,-1.9379772008161118,-0.159483396731126,1.5246878510429613,15.0
home_xg_over_conceded,0.0,1.0,8170,-0.15292812067876396,3.3665002052704858,-21.25,-2.002386832152374,-0.1448756768455377,1.5444522314680995,18.0
away_xg_over_scored,0.0,1.0,8170,-0.15924582750859353,3.24695513457074,-18.7,-2.0088653703249175,-0.17686580009462816,1.5872862087062325,18.0
away_xg_over_conceded,0.0,1.0,8170,-0.11950438783890809,3.1512235887024707,-18.75,-1.9418764891506641,-0.10457353584057838,1.5465024917085852,18.0
home_playing_top4,0.0,1.0,8170,0.19510403916768665,0.39630502996301725,0.0,0.0,0.0,0.0,1.0
away_playing_top4,0.0,1.0,8170,0.1850673194614443,0.38837593758040034,0.0,0.0,0.0,0.0,1.0
derby_position_gap,0.0,1.0,8170,-0.0007343941248470012,0.3835897464767049,-15.0,0.0,0.0,0.0,9.0
away_rolling_corners,0.07735618115055079,0.9226438188494492,7538,4.900201316283211,1.6031671395545763,0.0,3.902318785154084,4.773307330124313,5.773374599746369,17.0
home_rolling_tackles_pct,0.14626682986536108,0.8537331701346389,6975,48.735743905240135,22.448843824890975,2.0,39.58168046485302,58.35158537577583,63.81789468055675,100.0
away_rolling_tackles_pct,0.14516523867809059,0.8548347613219094,6984,48.75463004003949,22.54768588697414,1.0,38.0,58.509882927466506,64.07457473067412,100.0
home_rolling_errors_lead_to_shot,0.321297429620563,0.6787025703794369,5545,0.3997089094969914,0.3274415317156213,0.0,0.1643041066936034,0.3461222885117852,0.5757401227269208,3.0
away_rolling_errors_lead_to_shot,0.32105263157894737,0.6789473684210526,5547,0.3969118161592426,0.32186339338123665,0.0,0.16362934935862403,0.34806478580190015,0.5741877753131208,3.0
odds_model_gap_home,0.10611995104039168,0.8938800489596084,7303,-0.0017324674129399217,0.1103716591992932,-0.4276016769077389,-0.07038305710249997,-0.005439077738369047,0.06287001560901793,0.61037158485319
